Stock,Date,Identified Price,Week Day 1 Close,Week Day 2 Close,Week Day 3 Close,Week Day 4 Close,Week Day 5 Close,Week Day 6 Close,Week Day 7 Close,1 Month Close Price,3 Month Close Price,1 Week Return (%),1 Month Return (%),3 Month Return (%)
DREDGECORP,10/7/2024,1045.949951,1045.949951,1098.199951,1153.099976,1210.75,1167.75,1110.849976,1110.849976,1042.599976,839.1500244,6.204888135,-0.320280677,-19.77149351
PGIL,10/7/2024,885.2714844,885.2714844,965.479126,955.2229004,957.5131226,972.4494019,982.6060181,982.6060181,1014.967896,1518.599976,10.99487958,14.6504675,71.54059544
SALZERELEC,10/8/2024,980.5,980.5,1088.25,1074.400024,1115.650024,1103.599976,1103.599976,1103.599976,1086.099976,1405.400024,12.55481648,10.77001281,43.33503564
JUSTDIAL,10/8/2024,1217.449951,1217.449951,1242.449951,1270.199951,1308.849976,1259.599976,1259.599976,1259.599976,1170.75,1064.199951,3.462156647,-3.835882627,-12.58778645
ICEMAKE,10/9/2024,767.2999878,767.2999878,834.9500122,847.4500122,830.3499756,830.3499756,830.3499756,788.5999756,934.5,756,2.775966132,21.79069658,-1.472694901
EXIDEIND,10/10/2024,512.1500244,512.1500244,530.5,530.3499756,530.3499756,530.3499756,522.1500244,512.2999878,437.0499878,409.0499878,0.029281143,-14.6636792,-20.13082724
USHAMART,10/10/2024,367.1499939,367.1499939,422.1000061,430.1499939,430.1499939,430.1499939,440.8500061,436.8500061,397.2999878,379.7999878,18.9840701,8.211900966,3.445456654
MAFANG,10/10/2024,95.66000366,95.66000366,97.05000305,97.19999695,97.19999695,97.19999695,97.16999817,96.5,104.9000015,135.6399994,0.878106111,9.659207098,41.79384716
DODLA,10/10/2024,1179.752075,1179.752075,1288.625366,1315.25769,1315.25769,1315.25769,1295.009155,1312.265259,1205.75,1209.900024,11.23229078,2.203676972,2.555447865
ESABINDIA,10/13/2024,6436.580078,6436.580078,6436.580078,6486.773926,6438.970215,6375.431152,6327.925781,6159.467773,6046.581055,5382.649902,,,
FEDERALBNK,10/13/2024,196.7400055,196.7400055,196.7400055,198.6199951,194.3999939,193.6100006,195.3000031,193.3899994,207.7299957,189.1000061,,,
STYRENIX,10/13/2024,2607.26416,2607.26416,2607.26416,2623.494141,2586.827881,2513.346924,2512.20874,2475.394287,2494.246826,2888.050049,,,
KELLTONTEC,10/13/2024,148.9799957,148.9799957,148.9799957,152.3600006,148.7700043,147.5500031,152.7599945,147.1000061,151.6100006,156.9400024,,,
